summary_nr,report_id,event_date,event_time,event_desc,event_keyword,const_end_use,build_stories,nonbuild_ht,project_cost,project_type,sic_list,fatality,state_flag,abstract_text,load_dt
202715660,0950633,2013-05-16 11:36:00,,Employee Falls Ill While on Training,"HEAT,HEAT STROKE,HEALTH CARE FACILITY",,,,,,9224,,,,2016-02-08 01:00:05.963944
202613733,1054191,2011-06-22 13:00:00,,Explosion Knocks over Employee,"EXPLOSION,CONCUSSION,HYDROGEN,CONTUSION,RIB,HEAD",D,1,,B,C,"1711,2899",,,,2016-02-08 01:00:05.963944
202613733,1054191,2011-06-22 13:00:00,,Explosion Knocks over Employee,"EXPLOSION,CONCUSSION,HYDROGEN,CONTUSION,RIB,HEAD",D,1,,B,C,"1711,2899",,,,2016-02-08 01:00:05.963944
202080842,0453730,2011-03-28 12:30:00,,Employee Falls from Elevation and Is Killed,"STORAGE RACK,ELEVATED WORK PLAT,STRUCK BY,FALLING OBJECT,FALL",,,,,,5087,X,,,2016-02-08 01:00:05.963944
202493631,0950621,2012-10-31 12:00:00,,Employee Injures Knee in Fall on Outside Stairs,"OFFICE AREA,STAIR,STAIR LANDING,FALL,FRACTURE,KNEE",,,,,,8221,,,,2016-02-08 01:00:05.963944
201186665,0950611,2012-08-13 08:55:00,,Employee Shatters Right Elbow in Fall from Ladder,"PAINTER,FALL,FRACTURE,ELBOW,EXTENSION LADDER,SLIP,ROLLER--CONST EQUIP,UNSECURED",C,4,48,B,B,1521,,,,2016-02-08 01:00:05.963944
202508149,0950622,2010-12-27 11:00:00,,Worker Fractures Hip after Tripping on Floor Mat,"FOOD PREPARATION,WALKING SURFACE,FALL,FRACTURE,HIP",,,,,,8051,,,,2016-02-08 01:00:05.963944
200678605,0418800,2012-03-07 13:00:00,,Employee Electrocuted While Trimming Tree,"ELECTROCUTED,TREE,LADDER",,,,,,0782,X,,,2016-02-08 01:00:05.963944
200556850,0625700,2012-01-03 09:12:00,,Employee Is Killed in Fall from Roof,"FALL,FALL PROTECTION,ROOF",B,2,,A,E,1761,X,,,2016-02-08 01:00:05.963944
202545216,0950641,2013-03-04 13:00:00,,Employee Fractures Ankle When Struck by Forklift,"INDUSTRIAL TRUCK,STRUCK BY,FRACTURE,ANKLE,PALLET,MACHINE OPERATOR,HORN",,,,,,4222,,,,2016-02-08 01:00:05.963944
202531307,0950635,2012-07-27 15:45:00,,Employee Dies after Being Struck by Flying Piece of Metal,"METAL SHOP,POWER PRESS,MACHINE OPERATOR,EQUIPMENT FAILURE,STRUCK BY,FLYING OBJECT,CHEST,PUNCTURE",,,,,,3463,X,,,2016-02-08 01:00:05.963944
200626596,0454712,2012-04-12 23:40:00,,Employee Falls Into Shredder and Dies,"FALL,CRUSHED",,,,,,3341,X,,,2016-02-08 01:00:05.963944
202555058,0950631,2012-05-23 18:03:00,,Employee Fractures Ankle When Caught in Machine,"CAUGHT BY,FALL PROTECTION,LANYARD,FRACTURE,ANKLE,MACHINIST,MAINTENANCE,SAFETY BELT",,,,,,3559,,,,2016-02-08 01:00:05.963944
202658811,0950643,2013-12-18 08:21:00,,Two Workers Fall from Unsecured Joist and Sustain Fractures,"CONSTRUCTION,CARPENTER,JOIST,UNSECURED,FALL,FALL PROTECTION,WRIST,SPINE,FRACTURE,BRACING",C,2,32,B,A,1542,,,,2016-02-08 01:00:05.963944
202658811,0950643,2013-12-18 08:21:00,,Two Workers Fall from Unsecured Joist and Sustain Fractures,"CONSTRUCTION,CARPENTER,JOIST,UNSECURED,FALL,FALL PROTECTION,WRIST,SPINE,FRACTURE,BRACING",C,2,32,B,A,1542,,,,2016-02-08 01:00:05.963944
200054047,0728900,2011-07-12 01:18:00,,Employees Are Overexposed to Carbon Monoxide,"CARBON MONOXIDE,IDLH,AIR MONITORING",,,,,,5141,,,,2016-02-08 01:00:05.963944
200054047,0728900,2011-07-12 01:18:00,,Employees Are Overexposed to Carbon Monoxide,"CARBON MONOXIDE,IDLH,AIR MONITORING",,,,,,5141,,,,2016-02-08 01:00:05.963944
200054047,0728900,2011-07-12 01:18:00,,Employees Are Overexposed to Carbon Monoxide,"CARBON MONOXIDE,IDLH,AIR MONITORING",,,,,,5141,,,,2016-02-08 01:00:05.963944
200054047,0728900,2011-07-12 01:18:00,,Employees Are Overexposed to Carbon Monoxide,"CARBON MONOXIDE,IDLH,AIR MONITORING",,,,,,5141,,,,2016-02-08 01:00:05.963944
202542981,0950641,2011-06-20 10:00:00,,Window Washer Is Killed in Fall to Ground,"FALL,FALL PROTECTION,UNTRAINED,PPE",,,,,,7349,X,,,2016-02-08 01:00:05.963944
200981264,0855610,2012-12-06 10:05:00,,Employee Is Ejected from Man Lift Basket and Dies,"EJECTED,ELEVATOR,TRAILER,TIRE",,,,,,4212,X,,,2016-02-08 01:00:05.963944
201363751,0419400,2011-11-16 16:00:00,,"Two Employees Are Injured When Press Explodes, One Is Killed","PRESS,EXPLOSION,STRUCK BY,FLYING OBJECT",,,,,,0724,X,,,2016-02-08 01:00:05.963944
201363751,0419400,2011-11-16 16:00:00,,"Two Employees Are Injured When Press Explodes, One Is Killed","PRESS,EXPLOSION,STRUCK BY,FLYING OBJECT",,,,,,0724,X,,,2016-02-08 01:00:05.963944
201363751,0419400,2011-11-16 16:00:00,,"Two Employees Are Injured When Press Explodes, One Is Killed","PRESS,EXPLOSION,STRUCK BY,FLYING OBJECT",,,,,,0724,X,,,2016-02-08 01:00:05.963944
201494846,0950625,2010-10-21 16:35:00,,Employee Amputates Finger When Hand Caught in Conveyor,"CAUGHT BY,CONVEYOR,FINGER,AMPUTATED,REPAIR,SPROCKET,CHAIN,PACKING HOUSE",,,,,,0723,,,,2016-02-08 01:00:05.963944
201079951,0950632,2013-11-07 10:00:00,,"Employee Is Shocked by Light, Falls and Is Injured","MAINTENANCE,LIGHTING FIXTURE,INSTALLING,LADDER,STRUCK AGAINST,ELECTRIC SHOCK,LOST BALANCE,FALL,BACK",,,,,,7363,,,,2016-02-08 01:00:05.963944
170868368,0950621,2013-09-01 07:25:00,,Employee Lacerates and Bruises Leg in Fall from Platform,"PLATFORM,ELEVATED WORK PLAT,FALL,CONTUSION,KNEE",,,,,,0182,,,,2016-02-08 01:00:05.963944
202521589,0950624,2010-12-29 08:30:00,,Employee's Finger Is Injured by Needle Stick,"PUNCTURE,FINGER,HEALTH CARE FACILITY,HEALTH CARE WORKER",,,,,,8062,,,,2016-02-08 01:00:05.963944
200264190,0627100,2011-06-13 12:40:00,,Employee Is Killed in Fall from Third-Floor Balcony,"FALL PROTECTION,FALL,DECKING",B,3,,A,C,1799,X,,,2016-02-08 01:00:05.963944
202556775,0950631,2013-09-17 07:50:00,,Worker's Finger Is Broken in Unintended Machine Activation,"CONSTRUCTION,PLUMBING,PIPE,THREADING MACHINE,FOOT CONTROL,ACCELERATOR PEDAL,CAUGHT BETWEEN,FINGER,FRACTURE,VALVE",D,,,A,C,1711,,,,2016-02-08 01:00:05.963944
200084044,0112000,2011-11-28 13:30:00,,Elevated Scissor Lift Collapses and Injures Two Workers,"AERIAL LIFT,SCAFFOLD,COLLAPSE,FALL,SCAFFOLD COLLAPSE,MOBILE SCAFFOLD,SCAFFOLDING",B,6,85,F,A,1761,,,,2016-02-08 01:00:05.963944
200084044,0112000,2011-11-28 13:30:00,,Elevated Scissor Lift Collapses and Injures Two Workers,"AERIAL LIFT,SCAFFOLD,COLLAPSE,FALL,SCAFFOLD COLLAPSE,MOBILE SCAFFOLD,SCAFFOLDING",B,6,85,F,A,1761,,,,2016-02-08 01:00:05.963944
202458436,0950647,2013-06-18 09:55:00,,Service Technician Sustains Fractures When Ladder Falls,"ROOFER,ROOF,LADDER,UNSTABLE SURFACE,SLIPPERY SURFACE,LOST BALANCE,FALL,FRACTURE,WRIST,VERTEBRA",A,2,15,A,E,1711,,,,2016-02-08 01:00:05.963944
201079712,0950632,2013-08-30 10:46:00,,Employee Is Struck by Asphalt Machine and Fractures Leg,"EQUIPMENT OPERATOR,ROAD PAVING,LOST BALANCE,FALL,STRUCK BY,FRACTURE,LEG",I,,,A,C,1611,,,,2016-02-08 01:00:05.963944
202081550,0453730,2012-07-25 14:00:00,,Employee's Face Is Lacerated in Fall from Masonry Wall,"WALL,INSTALLING,TRUSS,COLLAPSE,FALL,FACE,LACERATION",C,1,20,E,A,1751,,,,2016-02-08 01:00:05.963944
202543963,0950641,2012-04-16 11:00:00,,Employee Is Injured When Struck by Falling Pallets,"STRUCK BY,PALLET,HEAD,FRACTURE",,,,,,2448,,,,2016-02-08 01:00:05.963944
201694809,0950662,2013-07-01 15:00:00,,Employee Killed When Trapped in Truck Under Water,"DRIVER,TRUCK,CART,WATER,DROWN",,,,,,4491,X,,,2016-02-08 01:00:05.963944
202657581,0950643,2013-03-02 13:30:00,,Employee Amputates Finger While Using Band Saw,"BANDSAW,AMPUTATED,FINGER,STRUCK BY,NIP POINT",,,,,,5411,,,,2016-02-08 01:00:05.963944
316210616,0950633,2012-12-27 15:30:00,,Employee Struck by Container Falling from Forklift,"PALLET,HEALTH CARE FACILITY,INDUSTRIAL TRUCK,FRACTURE,PELVIS,SHOULDER,CRUSHED,STRUCK BY",,,,,,3087,,,,2016-02-08 01:00:05.963944
202588406,0950614,2013-05-17 11:45:00,,Employee Fingers Amputated in Cutting Machine,"HEALTH CARE FACILITY,AMPUTATED,HAND,FINGER,BLADE",,,,,,2068,,,,2016-02-08 01:00:05.963944
202369294,1055330,2012-07-24 14:15:00,,"Employee Disappeared While Diving for Samples, Found Dead","DIVER,DIVING,GEAR,SCUBA,WATER",,,,,,9512,X,,,2016-02-08 01:00:05.963944
202692117,0950624,2013-11-01 06:30:00,,Worker Injures Hand When Caught Between Rollers,"CAUGHT BETWEEN,ROLLER--MACH/PART,FOOD PACKAGING MACH,FOOD PREPARATION,CONVEYOR",,,,,,2015,,,,2016-02-08 01:00:05.963944
202686291,0352410,2013-06-04 10:40:00,,Employee Is Struck by a Can and Gets Knocked Down,"STRUCK BY,NECK,SHOULDER,PAINTER",J,,,F,C,1721,,,,2016-02-08 01:00:05.963944
202543153,0950641,2011-07-20 09:15:00,,Employee Cuts Finger with Unguarded Saw Blade,"GUARD,FINGER,LACERATION,FRACTURE,HAND TOOL",A,2,,A,C,1799,,,,2016-02-08 01:00:05.963944
200381184,0336000,2011-08-24 08:45:00,,Employee's Fingers Are Amputated by Machine Roller,"MAINTENANCE,CLEANING,ROLLER--MACH/PART,CAUGHT BETWEEN,FINGER,AMPUTATED,HAND CONTROL,LOCKOUT",,,,,,2033,,,,2016-02-08 01:00:05.963944
201186475,0950611,2012-06-12 16:00:00,,Solderer Is Burned When Nearby Gas Line Flares,"CONSTRUCTION,SOLDERING TORCH,FIRE,GAS,UNDRGRD INSTALLATION,PIT,UNDRGRD POWER LINE,BURN,EYE,FACE",C,3,36,A,C,1542,,,,2016-02-08 01:00:05.963944
202544623,0950641,2012-08-20 10:30:00,,Employee Falls from Ladder and Fractures Leg,"CONSTRUCTION,LADDER,LOST BALANCE,FALL,FRACTURE,LEG",A,1,12,A,B,1743,,,,2016-02-08 01:00:05.963944
202692612,0950624,2013-12-11 15:40:00,,Farm Worker Welds on Tank Which Explodes,"AGRICULTURE,TANK,EXPLOSION,WELDING,BURN,CUTTING AND BURNING",,,,,,0762,,,,2016-02-08 01:00:05.963944
201614898,1054113,2011-08-03 10:00:00,,Worker Is Injured in Fall from Roof,"FALL,ROOF,ROOFER,CLEANING,WALKING BACKWARD,LEG,FRACTURE,RIB,CONTUSION,KIDNEY",,,,,,9531,,,,2016-02-08 01:00:05.963944
201763984,0626600,2011-09-17 09:30:00,,Employee Is Killed When Struck by Falling Tank,"STRUCK BY,FALLING OBJECT,TANK,BROKEN WELD,SUSPENDED LOAD,CRANE,CHAIN",,,,,,3999,X,,,2016-02-08 01:00:05.963944
202655270,0950633,2012-10-04 10:00:00,,Employee Falls from Tree and Punctures His Knee,"FALL,TREE,KNEE,PUNCTURE,OVERHEAD POWER LINE",,,,,,0783,,,,2016-02-08 01:00:05.963944
201764115,0626600,2012-02-27 15:30:00,,Worker Is Killed During Tree-Cutting Operation,"TREE,TREE FELLING,PINNED,STRUCK BY,CRUSHED,ELEC UTILITY WORK,GUY,ROPE,TREE STUMPING",O,,,C,E,7699,X,,,2016-02-08 01:00:05.963944
201186467,0950611,2012-05-15 12:00:00,,Employee Is Injured in Fall from a Ladder,"ELECTRICAL BOX,ELECTRIC CONDUCTOR,WALL,INSTALLING,EXTENSION LADDER,LADDER,FALL,FRACTURE,SPINE,HIP",C,4,48,B,C,1731,,,,2016-02-08 01:00:05.963944
202457768,0950647,2012-06-03 17:20:00,,Employee Fractures Scapula in Fall from Ladder,"LADDER,ROOF,ROOF OPENING,INADEQUATE MAINT,FALLING OBJECT,STRUCK BY,HEAD,FRACTURE,SHOULDER",,,,,,5411,,,,2016-02-08 01:00:05.963944
200534600,0751910,2011-10-15 07:50:00,,Employee Is Killed in Wall Collapse,"COLLAPSE,HEAD,DEMOLITION,AERIAL LIFT",C,4,,F,B,1741,X,,,2016-02-08 01:00:05.963944
201703238,1054115,2011-06-02 16:25:00,,Worker Is Struck by Forklift and Fractures Leg,"FOOD PREPARATION,INATTENTION,STRUCK BY,INDUSTRIAL TRUCK,FRACTURE,LEG",,,,,,2037,,,,2016-02-08 01:00:05.963944
200831584,0215600,2011-02-16 16:30:00,,Employee Is Killed When Scarf Becomes Caught in Rollers,"CLOTHING,IRON,CAUGHT BY,ENTANGLED,ASPHYXIATED,ROLLER--MACH/PART,NECK",,,,,,7219,X,,,2016-02-08 01:00:05.963944
202530671,0950635,2011-02-22 16:15:00,,Employee Amputates Foot When Run over by Rail Car,"RAILROAD CAR,RAILROAD TRACK,GRAIN,FOOT,AMPUTATED,RUN OVER,CRUSHED,OBSTRUCTED VIEW",,,,,,5153,,,,2016-02-08 01:00:05.963944
200171148,0257260,2012-06-22 12:00:00,,Five Workers Trapped When Unsecured Trench Collapses,"CONSTRUCTION,EXCAVATION,TRENCH,UNSECURED,COLLAPSE,CONCUSSION,HEAD",H,1,12,B,B,1542,,,,2016-02-08 01:00:05.963944
200171148,0257260,2012-06-22 12:00:00,,Five Workers Trapped When Unsecured Trench Collapses,"CONSTRUCTION,EXCAVATION,TRENCH,UNSECURED,COLLAPSE,CONCUSSION,HEAD",H,1,12,B,B,1542,,,,2016-02-08 01:00:05.963944
200171148,0257260,2012-06-22 12:00:00,,Five Workers Trapped When Unsecured Trench Collapses,"CONSTRUCTION,EXCAVATION,TRENCH,UNSECURED,COLLAPSE,CONCUSSION,HEAD",H,1,12,B,B,1542,,,,2016-02-08 01:00:05.963944
200171148,0257260,2012-06-22 12:00:00,,Five Workers Trapped When Unsecured Trench Collapses,"CONSTRUCTION,EXCAVATION,TRENCH,UNSECURED,COLLAPSE,CONCUSSION,HEAD",H,1,12,B,B,1542,,,,2016-02-08 01:00:05.963944
200171148,0257260,2012-06-22 12:00:00,,Five Workers Trapped When Unsecured Trench Collapses,"CONSTRUCTION,EXCAVATION,TRENCH,UNSECURED,COLLAPSE,CONCUSSION,HEAD",H,1,12,B,B,1542,,,,2016-02-08 01:00:05.963944
200999894,0551800,2012-10-13 12:15:00,,Employee Caught Between Truck Bumper/floor Is Killed,"TRUCK,STRUCK BY,CAUGHT BETWEEN,BUMPER JACK,TRACTOR--TRUCK,PINNED",,,,,,4213,X,,,2016-02-08 01:00:05.963944
202531331,0950635,2012-08-10 10:09:00,,Employee Severely Injured in Electrical Shock,"ELECTROCUTED,BURN,HEALTH CARE FACILITY,CONCRETE,TRUCK",H,1,1,A,A,1771,,,,2016-02-08 01:00:05.963944
202510186,0950622,2013-09-17 05:00:00,,Worker's Thumb Is Crushed When Caught Inside Pipe,"CONSTRUCTION,WATER,SEWAGE,PIPE,INSTALLING,CAUGHT BETWEEN,HAND,CRUSHED,FINGER,WALL",G,,20,F,A,1623,,,,2016-02-08 01:00:05.963944
202493870,0950621,2012-10-02 10:07:00,,Lineman Injured in Fall from Ladder,"ELECTRICAL WORK,ELECTRICIAN,ELEC UTILITY WORK,ELECTRIC CABLE,LADDER,FALL,FRACTURE",,,,,,4111,,,,2016-02-08 01:00:05.963944
200534402,0751910,2011-07-06 03:52:00,,Restaurant Cook Is Killed in Fire,"FIRE,FOOD PREPARATION,SMOKE,SMOKE INHALATION,INHALATION,ASPHYXIATED,RESPIRATORY,RESPIRATORY TRACT",,,,,,5541,X,,,2016-02-08 01:00:05.963944
202649067,0352430,2011-09-12 13:30:00,,Employee Electrocuted in Contact with Live Junction Box,"ELECTROCUTED,ELECTRICAL BOX,LOCKOUT,REFRIGERATOR,INSTALLING,LIGHTING",C,3,45,F,A,1731,X,,,2016-02-08 01:00:05.963944
202369617,1055350,2013-07-26 13:30:00,,"Employee Faints after Finishing Concrete, Later Dies","CONCRETE,CONCRETE FORM WORK,FAINTED,PULMONARY EMBOLISM",H,1,,A,E,1794,X,,,2016-02-08 01:00:05.963944
101404275,0552651,2012-07-02 10:15:00,,Employee Falls from Roof and Is Killed,"ROOF,LOST BALANCE,FALL",D,1,26,B,C,1791,X,,,2016-02-08 01:00:05.963944
202587572,0950614,2012-07-13 08:30:00,,Painting Foreman Is Injured in Fall from Ladder,"CONSTRUCTION,PAINTER,LADDER,SLIP,FALL,FALL PROTECTION,FRACTURE,CONCRETE",A,1,12,A,C,1721,,,,2016-02-08 01:00:05.963944
202587796,0950614,2012-04-07 18:25:00,,Employee Receives Injuries in Fall from Ladder,"COMMUNICATION,REPAIR,UNSECURED,LADDER,FALL,SHOULDER,CONTUSION,FACE,SCALP,NECK",A,2,,A,C,1731,,,,2016-02-08 01:00:05.963944
316505726,0551800,2012-11-28 10:26:00,,"Employee Suffers Fractures When Struck by Vehicle, Dies","TRUCK,DRIVER,HIGHWAY,VEHICLE,STRUCK BY,FRACTURE",I,,,A,E,9621,X,,,2016-02-08 01:00:05.963944
202612875,0950612,2011-04-15 10:02:00,,Employee Falls from Scaffold,"FALL,SCAFFOLD,FALL PROTECTION,SLIP",A,2,28,C,A,1721,,,,2016-02-08 01:00:05.963944
202064333,0420100,2011-07-02 09:00:00,,One Employee Dies and One Is Burned in Painting Flash Fire,"BURN,EXPLOSION,PAINTER,SPRAY PAINTING,BOAT,MANHOLE,COMPRESSOR,SPARK,RESPIRATOR,CORD SET",,,,,,3731,X,,,2016-02-08 01:00:05.963944
202064333,0420100,2011-07-02 09:00:00,,One Employee Dies and One Is Burned in Painting Flash Fire,"BURN,EXPLOSION,PAINTER,SPRAY PAINTING,BOAT,MANHOLE,COMPRESSOR,SPARK,RESPIRATOR,CORD SET",,,,,,3731,X,,,2016-02-08 01:00:05.963944
202369138,1055350,2012-02-04 15:20:00,,Employee Drowns in Pond,"ASPHYXIATED,DROWN,WATER",,,,,,2038,X,,,2016-02-08 01:00:05.963944
202479382,0950644,2013-05-28 08:40:00,,Employee's Leg Is Struck by Pallet and Is Fractured,"INDUSTRIAL TRUCK,BACKING UP,PALLET,UNSECURED,UNSTABLE POSITION,STRUCK AGAINST,FRACTURE,LEG",,,,,,5111,,,,2016-02-08 01:00:05.963944
202612800,0950612,2011-03-16 08:15:00,,Employee Is Injured When Pinned Between Lift and Roof,"MAINTENANCE,PINNED,CEILING,AERIAL LIFT,LIGHTING FIXTURE,ABRASION,PELVIS,ABDOMEN",,,,,,7349,,,,2016-02-08 01:00:05.963944
202569265,0452110,2011-09-07 09:50:00,,Employee Dies of Heat Exhaustion,"LOADING,AGRICULTURE,HEAT,HEAT EXHAUSTION,VOMIT,ALCOHOL",,,,,,0132,X,,,2016-02-08 01:00:05.963944
201024544,0950615,2012-11-27 14:15:00,,Employee Fractures Shoulder When She Stumbles on Asphalt,"SHOULDER,ASPHALT,TRIPPED,FALL,FRACTURE",,,,,,8211,,,,2016-02-08 01:00:05.963944
202470126,0950643,2011-04-06 10:00:00,,Employee Finger Is Injured in Crushed Machine,"FINGER,EQUIPMENT OPERATOR,WELL,PLUG ADAPTER,HEAD,PIN,CRUSHED,BOOM",,,,,,1389,,,,2016-02-08 01:00:05.963944
202586582,0950614,2011-01-22 08:15:00,,Employee Falls from Ladder and Fractures Leg,"FIXED LADDER,FALL,FRACTURE,LEG",,,,,,5311,,,,2016-02-08 01:00:05.963944
200626315,0454731,2011-09-08 10:00:00,,Employee Is Injured When Struck by Motor Vehicle,"AUTOMOBILE,STRUCK BY",I,,,A,C,1611,X,,,2016-02-08 01:00:05.963944
170627400,0950621,2011-10-19 13:30:00,,Employee Suffers Electric Shock,"INDUSTRIAL TRUCK,BEAM,ELECTRIC SHOCK,ELEVATOR,FALL",,,,,,3441,,,,2016-02-08 01:00:05.963944
201497633,0950625,2013-02-11 12:30:00,,Employee Fractures Back in Fall from Aluminum Step Ladder,"INSTALLING,LADDER,METAL LADDER,STEPLADDER,DIZZINESS,COLLAPSE,FALL,FRACTURE,BACK",,,,,,7363,,,,2016-02-08 01:00:05.963944
201925591,0626700,2011-12-13 10:00:00,,Employee Is Struck by Pipe Bundle and Killed,"TRUCK,UNSTABLE LOAD,UNCONSCIOUSNESS,TRAILER TRUCK,DRIVER,STRUCK BY,PIPE,LOST BALANCE,INDUSTRIAL TRUCK",,,,,,4231,X,,,2016-02-08 01:00:05.963944
202544201,0950641,2012-08-16 11:15:00,,Employee's Tibia Is Injured When Struck by Backhoe Bucket,"SHOVEL,EXCAVATION,EXCAVATOR,BACKHOE,BACKHOE BUCKET,STRUCK BY,FRACTURE,TIBIA",L,,,D,B,1611,,,,2016-02-08 01:00:05.963944
200571701,0316700,2011-11-11 11:30:00,,Employee Is Killed When Crushed by Overturned Forklift,"INDUSTRIAL TRUCK,SLOPE,CONSTRUCTION,OUTRIGGER,ROLL-OVER,TIRE,OVERTURN",B,4,55,F,B,1761,X,,,2016-02-08 01:00:05.963944
202479747,0950644,2013-12-01 18:00:00,,Employee Falls Unloading Trailer and Fractures Knee,"FALL,FRACTURE,KNEE,FALL PROTECTION,LOST BALANCE,DOCK,PLATFORM,CONVEYOR BELT,STAIR",,,,,,4215,,,,2016-02-08 01:00:05.963944
200362556,0453730,2013-12-10 08:30:00,,Employee Is Found Dead in Truck,"UNCONSCIOUSNESS,HEART,HEART ATTACK",,,,,,2599,X,,,2016-02-08 01:00:05.963944
202479630,0950644,2013-09-23 15:25:00,,Employee Falls Through Opening and Is Injured,"ELECTRIC PUMP,UNGUARDED FL OPENING,FALL",,,,,,7699,,,,2016-02-08 01:00:05.963944
201615085,1054113,2012-01-13 17:30:00,,Employee Loses Finger from Auger,"FINGER,STRUCK BY,AMPUTATED,AUGER",,,,,,3089,,,,2016-02-08 01:00:05.963944
202554010,0950631,2011-08-16 15:01:00,,Employee Falls While in Chase,"FALL,FRACTURE,LEG,FOOT",,,,,,9229,,,,2016-02-08 01:00:05.963944
202126751,0627500,2011-09-19 15:24:00,,Employee Is Injured When Struck by Falling Water Tower,"STRUCK BY,FRACTURE,HEAD,TOWER,INSTALLING,SLING,CRANE,FALLING OBJECT,COLLAPSE,OIL WELL DRILLING",,,,,,1389,,,,2016-02-08 01:00:05.963944
202692190,0950624,2013-09-23 07:15:00,,Employee's Fingers Are Struck by Stairs and Are Injured,"FINGER,STRUCK BY,FALLING OBJECT,STAIR,AMPUTATED,LACERATION",,,,,,3559,,,,2016-02-08 01:00:05.963944
202637161,0551800,2013-04-28 13:10:00,,Employee Suffers Heart Attack While at Work Site,"HEART,HEART ATTACK",A,,,A,C,1521,X,,,2016-02-08 01:00:05.963944
200923605,0355125,2013-06-13 06:25:00,,Employee Is Found Dead in Elevator Shaft,"REPAIR,ELEVATOR,ELEVATOR SHAFT,CAUGHT BETWEEN,BEAM,UNCONSCIOUSNESS",C,4,,A,C,1796,X,,,2016-02-08 01:00:05.963944
200220416,0316300,2011-08-08 14:45:00,,Employee Falls from Scaffold and Is Killed,"INDUSTRIAL TRUCK,STRUCK AGAINST,SCAFFOLDING,FALL",C,4,,F,A,1741,X,,,2016-02-08 01:00:05.963944
202654554,0950612,2013-06-26 11:45:00,,Employee Is Electrocuted,"ROPE,METAL POLE,STRUCK AGAINST,OVERHEAD POWER LINE,ELECTROCUTED",,,,,,0783,X,,,2016-02-08 01:00:05.963944
202553152,0950631,2011-04-22 03:00:00,,Employee's Eye Is Injured by Debris from Floor Scraper,"STRIPPING MACHINE,EYE",C,1,10,A,D,1541,,,,2016-02-08 01:00:05.963944
202545471,0950641,2013-08-28 15:00:00,,Employee Dies from Heart Attack,"CARDIOVASC SYSTEM,CARDIOVASC DISEASE,UNCONSCIOUSNESS,HEART ATTACK",P,,,A,E,1781,X,,,2016-02-08 01:00:05.963944
201128345,0950613,2011-04-30 08:57:00,,Employee Falls in Elevator Shaft Breaks Pelvis,"FALL,EXCAVATOR,HEALTH CARE FACILITY,ROPE,HOISTING MECHANISM,SHACKLE",C,3,,B,B,1791,,,,2016-02-08 01:00:05.963944
202615027,1054111,2013-07-22 09:30:00,,Bricklayer Falls from Scaffold and Fractures Neck,"CONSTRUCTION,WALL,INSTALLING,SCAFFOLD,PLANKING,DIZZINESS,FALL,FALL PROTECTION,NECK,FRACTURE",B,3,4,E,A,1741,,,,2016-02-08 01:00:05.963944
200534303,0751910,2011-05-23 08:00:00,,Employee Adjusts Machine Rotating Part and Amputates Finger,"UNGUARDED,ROTATING PARTS,AMPUTATED,FINGER",,,,,,3365,,,,2016-02-08 01:00:05.963944
202477485,0950636,2011-07-02 08:15:00,,Employee Lacerates Thumb While Moving Conveyor,"LACERATION,THUMB,CONVEYOR",,,,,,2037,,,,2016-02-08 01:00:05.963944
202553137,0950631,2011-01-26 11:30:00,,Employee Amputates Finger Between Reel and Support Frame,"MACHINE--MISC,CAUGHT BETWEEN,AMPUTATED,FINGER",,,,,,2822,,,,2016-02-08 01:00:05.963944
202556536,0950631,2013-07-23 09:27:00,,Worker Operating Power Saw Sustains Neck Laceration,"CONSTRUCTION,PIPE,SAW,HAND TOOL,BLADE,NECK,LACERATION,ELECTRIC SAW",C,1,10,C,B,1623,,,,2016-02-08 01:00:05.963944
200361756,0453710,2013-07-22 08:15:00,,"Employee Is Caught by Conveyor, Later Dies","FARM MACHINERY,CONVEYOR,CPR,ROLLER--MACH/PART,HAND,CAUGHT BY,JAMMED",,,,,,0191,X,,,2016-02-08 01:00:05.963944
202369542,1055330,2013-03-12 00:00:00,,Employee Is Killed When Caught Between Roller and Spreader,"REPAIR,GANTRY CRANE,WIRE ROPE,ROLLER--MACH/PART,BOOM SUPPORT CABLE,LOAD LINE,CAUGHT BETWEEN",,,,,,7699,X,,,2016-02-08 01:00:05.963944
200515922,0552700,2013-09-22 18:00:00,,Employee Falls from Roof and Is Killed,"WINDOW WASHER,FALL,FALL PROTECTION",,,,,,7349,X,,,2016-02-08 01:00:05.963944
202543872,0950641,2012-05-10 16:45:00,,Construction Worker Excavating Trench Is Killed in Cave-In,"CONSTRUCTION,EXCAVATION,TRENCH,HAND TOOL,UNSTABLE SOIL,TRENCH BOX,COLLAPSE,BURIED,ASPHYXIATED,WORK RULES",A,3,36,A,B,1521,X,,,2016-02-08 01:00:05.963944
202479275,0950644,2013-03-21 16:00:00,,Employee Partially Amputates Finger on Band Saw,"FOOD PREPARATION,MEAT SLICING MACHINE,BANDSAW,STRUCK AGAINST,BLADE,AMPUTATED,FINGER,GUARD",,,,,,5411,,,,2016-02-08 01:00:05.963944
200361392,0453710,2012-11-14 14:18:00,,Employee Falls from a Tree,"FALL,TREE,ROPE,FRACTURE,CHAIN SAW",,,,,,0783,X,,,2016-02-08 01:00:05.963944
